2 - List of Successful Candidates,,,,,
 STATE/UT , CONSTITUENCY , WINNER , SEX , PARTY , SYMBOL 
Andhra Pradesh,Ichchapuram,ASHOK BENDALAM,MALE,TDP,Bicycle
Andhra Pradesh,Palasa,APPALARAJU SEEDIRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Tekkali,ATCHANNAIDU KINJARAPU,MALE,TDP,Bicycle
Andhra Pradesh,Pathapatnam,REDDY SHANTHI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srikakulam,DHARMANA PRASADA RAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Amadalavalasa,THAMMINENI SEETHARAM,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Etcherla,Gorle. Kiran Kumar,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Narasannapeta,DHARMANA KRISHNA DAS,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Rajam (SC),KAMBALA JOGULU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Palakonda  (ST),VISWASARAYI KALAVATHI,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Kurupam ,PUSHPASREEVANI . PAMULA,FEMALE,YSRCP,Ceiling Fan
Andhra Pradesh,Parvathipuram ,ALAJANGI JOGARAO,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Salur ,PEEDIKA. RAJANNA DORA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bobbili ,SAMBANGI VENKATACHINA APPALA NAIDU,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Cheepurupalli,BOTCHA SATYANARAYANA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Gajapathinagaram,APPALANARASAYYA BOTCHA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Nellimarla,APPALA NAIDU BADDUKONDA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Vizianagaram,VEERA BHADRA SWAMY KOLAGATLA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Srungavarapukota,Kadubandi Srinivasa Rao,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Bhimli,MUTTAMSETTI SRINIVASARAO (AVANTHI SRINIVAS),MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Visakhapatnam East,RAMAKRISHNA BABU VELAGAPUDI,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam South,GANESH KUMAR VASUPALLI,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam  North,GANTA SRINIVASA RAO,MALE,TDP,Bicycle
Andhra Pradesh,Visakhapatnam  West,P G V R NAIDU(GANA BABU),MALE,TDP,Bicycle
Andhra Pradesh,Gajuwaka,NAGIREDDY TIPPALA,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,Chodavaram,KARANAM DHARMASRI,MALE,YSRCP,Ceiling Fan
Andhra Pradesh,V.Madugula,BUDI MUTYALA NAIDU,MALE,YSRCP,Ceiling Fan
